optimal_tour,optimal_tour_length,christofides_tour,christofides_tour_length,score,time
"{1, 10, 20, 12, 4, 18, 2, 14, 3, 11, 13, 5, 17, 19, 16, 6, 7, 9, 15, 8, 1}",3.974075,"{1, 15, 9, 7, 6, 16, 17, 19, 13, 11, 5, 14, 2, 3, 18, 4, 12, 10, 20, 8, 1}",4.312318,0.085112,0.000180
"{1, 4, 7, 3, 14, 10, 6, 15, 13, 8, 9, 16, 17, 12, 20, 5, 19, 11, 18, 2, 1}",3.969007,"{1, 4, 18, 2, 11, 19, 5, 20, 15, 13, 16, 9, 8, 17, 12, 7, 6, 10, 3, 14, 1}",4.540820,0.144069,0.000186
"{1, 19, 9, 4, 15, 18, 5, 12, 14, 17, 16, 6, 13, 11, 8, 7, 10, 2, 20, 3, 1}",3.814619,"{1, 10, 2, 19, 13, 6, 16, 7, 8, 11, 17, 14, 12, 5, 18, 15, 4, 9, 20, 3, 1}",4.480769,0.174631,0.000181
"{1, 16, 17, 4, 10, 9, 20, 11, 5, 19, 2, 7, 14, 6, 3, 12, 18, 13, 15, 8, 1}",3.729522,"{1, 16, 17, 4, 8, 15, 3, 12, 18, 13, 14, 6, 7, 2, 19, 5, 11, 20, 9, 10, 1}",4.183242,0.121657,0.000181
"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,"{1, 10, 18, 5, 9, 20, 14, 12, 13, 16, 6, 11, 2, 3, 19, 15, 17, 4, 8, 7, 1}",3.721549,0.057810,0.000181
"{1, 9, 18, 6, 15, 8, 20, 19, 17, 7, 2, 12, 16, 14, 4, 3, 11, 5, 13, 10, 1}",3.732700,"{1, 14, 16, 19, 17, 8, 20, 7, 2, 12, 4, 3, 11, 5, 13, 10, 6, 15, 18, 9, 1}",4.468176,0.197036,0.000178
"{1, 7, 19, 18, 3, 12, 20, 6, 8, 10, 2, 14, 15, 5, 9, 11, 17, 16, 4, 13, 1}",3.925524,"{1, 13, 9, 11, 17, 4, 16, 5, 15, 14, 10, 2, 8, 6, 7, 19, 12, 20, 18, 3, 1}",4.477287,0.140558,0.000188
"{1, 9, 16, 7, 18, 15, 4, 10, 13, 5, 3, 14, 11, 8, 20, 19, 6, 17, 2, 12, 1}",4.177693,"{1, 9, 16, 7, 18, 10, 13, 12, 2, 17, 6, 19, 20, 11, 14, 8, 3, 5, 15, 4, 1}",4.787374,0.145937,0.000187
"{1, 10, 2, 13, 9, 20, 8, 17, 16, 11, 19, 15, 3, 5, 6, 18, 14, 7, 12, 4, 1}",4.005063,"{1, 10, 6, 18, 5, 3, 15, 19, 11, 17, 8, 20, 9, 16, 13, 2, 14, 7, 12, 4, 1}",4.923007,0.229196,0.000184
"{1, 8, 4, 9, 6, 2, 15, 10, 13, 3, 18, 7, 14, 11, 20, 5, 12, 16, 17, 19, 1}",4.003620,"{1, 19, 14, 11, 20, 7, 18, 3, 13, 10, 15, 6, 9, 16, 17, 12, 5, 2, 4, 8, 1}",5.061353,0.264194,0.000187
"{1, 19, 11, 9, 17, 14, 13, 7, 6, 15, 4, 10, 18, 12, 3, 5, 8, 20, 2, 16, 1}",4.069552,"{1, 19, 16, 11, 9, 17, 14, 13, 7, 6, 15, 4, 10, 18, 12, 3, 5, 20, 8, 2, 1}",4.252747,0.045016,0.000199
"{1, 11, 2, 6, 20, 4, 13, 7, 10, 16, 14, 5, 15, 12, 18, 9, 17, 19, 3, 8, 1}",3.183201,"{1, 11, 2, 6, 20, 19, 17, 3, 9, 18, 12, 15, 5, 14, 16, 10, 7, 4, 13, 8, 1}",3.365596,0.057299,0.000178
"{1, 10, 2, 19, 12, 16, 7, 17, 11, 20, 14, 15, 6, 9, 8, 18, 5, 13, 3, 4, 1}",3.506426,"{1, 13, 4, 3, 5, 18, 8, 9, 6, 15, 14, 17, 11, 20, 2, 19, 7, 12, 16, 10, 1}",3.937267,0.122872,0.000189
"{1, 19, 5, 11, 4, 8, 3, 13, 14, 18, 20, 12, 9, 7, 2, 16, 10, 15, 17, 6, 1}",3.565069,"{1, 19, 5, 11, 4, 8, 16, 20, 18, 13, 3, 14, 12, 9, 7, 2, 10, 15, 17, 6, 1}",3.792929,0.063915,0.000212
"{1, 9, 8, 3, 12, 2, 13, 4, 15, 20, 10, 18, 7, 14, 17, 6, 5, 11, 19, 16, 1}",4.005012,"{1, 16, 19, 11, 4, 10, 20, 15, 17, 5, 6, 14, 7, 18, 13, 2, 8, 3, 12, 9, 1}",4.325253,0.079960,0.000233
"{1, 12, 2, 16, 6, 15, 5, 7, 14, 10, 19, 8, 11, 4, 3, 13, 9, 20, 18, 17, 1}",4.007835,"{1, 17, 18, 5, 7, 3, 13, 20, 9, 19, 8, 11, 4, 10, 14, 15, 6, 16, 2, 12, 1}",4.401354,0.098187,0.000192
"{1, 9, 15, 11, 13, 17, 12, 19, 8, 5, 6, 10, 18, 2, 14, 3, 4, 7, 20, 16, 1}",3.340037,"{1, 16, 20, 7, 14, 3, 10, 9, 4, 6, 18, 2, 8, 5, 17, 19, 12, 13, 11, 15, 1}",3.911258,0.171022,0.000188
"{1, 4, 14, 18, 9, 3, 6, 5, 12, 16, 10, 15, 17, 13, 20, 7, 11, 19, 2, 8, 1}",3.746554,"{1, 14, 9, 18, 3, 6, 16, 5, 12, 10, 15, 20, 17, 13, 7, 11, 19, 2, 8, 4, 1}",4.195850,0.119922,0.000185
"{1, 9, 8, 11, 14, 3, 20, 13, 2, 17, 16, 18, 5, 19, 12, 4, 7, 10, 6, 15, 1}",3.382577,"{1, 6, 11, 9, 8, 14, 13, 20, 3, 2, 17, 16, 18, 5, 19, 12, 4, 7, 10, 15, 1}",3.869136,0.143843,0.000173
"{1, 5, 12, 18, 20, 11, 19, 17, 2, 16, 8, 3, 10, 14, 6, 7, 15, 9, 4, 13, 1}",3.947663,"{1, 13, 12, 18, 5, 20, 11, 6, 17, 19, 2, 16, 8, 3, 14, 10, 7, 15, 9, 4, 1}",4.431890,0.122662,0.000179
"{1, 15, 4, 2, 19, 8, 16, 11, 9, 7, 12, 5, 17, 10, 20, 3, 18, 14, 6, 13, 1}",3.923082,"{1, 5, 17, 20, 3, 6, 18, 14, 13, 15, 19, 2, 4, 8, 16, 11, 9, 7, 12, 10, 1}",4.396680,0.120721,0.000206
