optimal_tour,optimal_tour_length,3opt_tour,3opt_tour_length,score,time
"{1, 21, 11, 27, 10, 13, 30, 23, 24, 19, 29, 17, 7, 15, 3, 20, 28, 26, 5, 6, 14, 2, 8, 22, 9, 4, 12, 18, 25, 16, 1}",4.395518,"{1, 16, 25, 18, 12, 4, 9, 22, 8, 2, 14, 6, 5, 26, 28, 20, 3, 15, 7, 17, 29, 19, 24, 23, 30, 13, 10, 27, 11, 21, 1}",4.395517,0.000000,0.216408
"{1, 16, 22, 18, 14, 5, 27, 17, 7, 28, 25, 12, 11, 8, 3, 6, 2, 21, 4, 24, 29, 15, 20, 13, 9, 10, 30, 26, 19, 23, 1}",4.212930,"{1, 16, 22, 18, 14, 5, 27, 17, 7, 28, 25, 12, 11, 8, 3, 6, 2, 21, 4, 24, 29, 15, 20, 13, 9, 10, 30, 26, 23, 19, 1}",4.238196,0.005997,0.424162
"{1, 16, 26, 18, 20, 27, 23, 7, 17, 4, 5, 30, 29, 13, 21, 14, 24, 8, 22, 2, 6, 28, 19, 3, 11, 15, 25, 10, 12, 9, 1}",4.923536,"{1, 9, 23, 2, 6, 28, 10, 12, 15, 25, 11, 3, 19, 22, 8, 24, 14, 21, 13, 29, 30, 5, 4, 17, 7, 20, 27, 18, 26, 16, 1}",5.105853,0.037030,0.222009
"{1, 4, 12, 17, 23, 3, 16, 22, 30, 18, 2, 15, 19, 14, 8, 5, 27, 21, 29, 20, 11, 13, 28, 24, 7, 9, 25, 26, 10, 6, 1}",4.352213,"{1, 4, 12, 17, 8, 14, 19, 5, 21, 29, 25, 9, 7, 24, 28, 13, 11, 20, 27, 15, 2, 18, 30, 22, 16, 3, 23, 6, 10, 26, 1}",4.631580,0.064190,1.728839
"{1, 3, 14, 2, 18, 28, 16, 22, 25, 9, 4, 27, 26, 20, 13, 23, 30, 12, 21, 10, 19, 29, 5, 11, 6, 15, 24, 7, 8, 17, 1}",4.442610,"{1, 17, 7, 24, 15, 6, 11, 5, 29, 19, 10, 21, 12, 30, 23, 13, 20, 26, 18, 3, 14, 2, 28, 27, 4, 9, 25, 22, 16, 8, 1}",4.553110,0.024873,0.434078
"{1, 4, 16, 2, 10, 11, 18, 28, 15, 20, 27, 5, 17, 8, 6, 19, 24, 21, 13, 22, 12, 26, 9, 14, 23, 30, 3, 7, 29, 25, 1}",4.338206,"{1, 25, 7, 3, 29, 30, 23, 14, 9, 26, 12, 22, 13, 21, 24, 19, 6, 8, 17, 5, 27, 20, 15, 28, 4, 16, 18, 11, 10, 2, 1}",4.337734,-0.000109,0.217200
"{1, 13, 20, 4, 19, 27, 17, 28, 14, 9, 16, 25, 12, 2, 10, 26, 11, 7, 6, 15, 3, 8, 30, 21, 18, 23, 5, 29, 24, 22, 1}",4.790635,"{1, 29, 18, 20, 13, 4, 19, 27, 17, 28, 14, 9, 16, 25, 12, 2, 10, 26, 11, 7, 6, 15, 3, 8, 30, 21, 23, 5, 24, 22, 1}",4.955365,0.034386,0.212498
"{1, 10, 16, 6, 3, 20, 8, 12, 5, 26, 19, 17, 13, 27, 30, 15, 29, 21, 14, 9, 25, 18, 24, 7, 22, 4, 23, 11, 28, 2, 1}",4.021061,"{1, 10, 16, 6, 3, 20, 5, 12, 26, 19, 17, 13, 27, 30, 15, 29, 21, 14, 9, 25, 18, 24, 7, 22, 4, 23, 2, 28, 11, 8, 1}",4.109194,0.021918,0.218675
"{1, 27, 28, 13, 16, 14, 25, 6, 30, 11, 10, 20, 23, 24, 19, 26, 15, 8, 18, 22, 2, 12, 3, 9, 7, 4, 17, 21, 29, 5, 1}",4.709912,"{1, 5, 29, 21, 17, 4, 7, 9, 3, 12, 2, 22, 18, 8, 15, 26, 19, 24, 23, 20, 10, 11, 30, 6, 25, 14, 16, 13, 28, 27, 1}",4.709911,0.000000,0.432291
"{1, 27, 6, 23, 11, 14, 4, 18, 22, 5, 7, 30, 24, 26, 17, 13, 21, 3, 28, 9, 8, 16, 25, 19, 15, 2, 20, 12, 29, 10, 1}",4.288992,"{1, 27, 6, 23, 11, 14, 4, 18, 22, 5, 7, 30, 24, 26, 17, 13, 21, 3, 28, 9, 8, 16, 25, 19, 15, 2, 20, 12, 29, 10, 1}",4.288992,0.000000,0.214600
